City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
344,boende,-0.2167,20.8667,21.64,96,100,1.43,CD,1737391342
345,petukhovo,55.0692,67.9019,-3.01,94,100,7.69,RU,1737391344
346,jarny,49.1574,5.8788,-0.03,91,97,0.89,FR,1737391345
347,malmberget,67.1753,20.6549,-20.69,84,0,3.09,SE,1737391346
348,nelsonville,39.4587,-82.2318,-10.85,56,51,3.68,US,1737391229
349,sretensk,52.2453,117.7093,-26.23,100,78,0.48,RU,1737391348
350,broome,42.2506,-75.833,-7.39,52,20,7.72,US,1737391350
351,huron,41.1501,-82.5499,-14.07,71,77,6.76,US,1737391351
352,thinadhoo,0.5333,72.9333,27.78,79,93,5.56,MV,1737391352
353,goma,-1.6792,29.2228,18.35,83,97,1.14,CD,1737391353
354,ola,59.5833,151.2833,-28.08,88,13,2.5,RU,1737391354
355,maintirano,-18.0667,44.0167,27.83,74,99,3.68,MG,1737391355
356,yeppoon,-23.1333,150.7333,24.44,76,100,3.76,AU,1737391180
357,amasra,41.7463,32.3863,6.8,75,1,4.35,TR,1737391357
358,paka,4.6374,103.4368,25.96,83,71,0.0,MY,1737391358
359,kintinku,-5.8833,35.2333,20.74,89,64,1.66,TZ,1737391359
360,le vauclin,14.5452,-60.8388,29.03,74,75,9.26,MQ,1737391069
361,ad dawadimi,24.5077,44.3924,15.64,29,100,3.54,SA,1737391362
362,arauca,7.0847,-70.7591,30.98,55,20,3.09,CO,1737391363
363,kamina,-8.7386,24.9906,17.56,97,100,1.46,CD,1737391364
364,al hamul,31.3115,31.1477,14.03,79,98,2.7,EG,1737391365
365,zouerate,22.7187,-12.4521,24.65,15,0,4.74,MR,1737391366
366,eastham,41.8301,-69.9739,-2.81,71,0,6.26,US,1737391196
367,vangaindrano,-23.35,47.6,24.8,90,7,3.22,MG,1737391368
368,las animas,-39.8087,-73.2182,24.08,31,80,3.39,CL,1737391369
369,izberbash,42.5696,47.8645,5.03,75,9,2.48,RU,1737391371
370,westport,41.1415,-73.3579,-3.73,57,0,6.17,US,1737391372
371,n'zeto,-7.2312,12.8666,26.12,81,93,2.43,AO,1737391373
372,klaksvik,62.2266,-6.589,7.04,91,22,2.97,FO,1737391374
373,freetown,8.484,-13.2299,29.84,66,0,3.09,SL,1737391375
374,isla vista,34.4133,-119.861,12.42,87,20,0.0,US,1737391376
375,salinas,36.6777,-121.6555,8.77,90,100,2.57,US,1737391377
376,saldanha,-33.0117,17.9442,24.03,71,0,12.44,ZA,1737391378
377,sterling,39.0062,-77.4286,-3.71,58,75,6.17,US,1737391379
378,vilyuysk,63.7553,121.6247,-20.32,99,100,1.48,RU,1737391381
379,olinda,-8.0089,-34.8553,30.85,62,20,4.12,BR,1737391236
380,tamanrasset,22.785,5.5228,19.95,6,0,2.57,DZ,1737391383
381,shohimardon,39.9839,71.8028,-0.48,66,53,2.53,UZ,1737391384
382,namibe,-15.1961,12.1522,21.85,74,54,4.77,AO,1737391385
383,sur,22.5667,59.5289,20.62,64,20,1.89,OM,1737391320
384,kalemie,-5.9475,29.1947,21.37,88,100,3.85,CD,1737391387
385,laojunmiao,39.8333,97.7333,-4.61,36,100,0.46,CN,1737391388
386,coruripe,-10.1256,-36.1756,29.37,64,70,6.24,BR,1737391391
387,ancud,-41.8697,-73.8203,13.69,91,99,6.14,CL,1737391392
388,conceicao da barra,-18.5933,-39.7322,32.18,53,29,4.74,BR,1737391393
389,mugia,43.1041,-9.2179,14.95,88,100,3.16,ES,1737391394
390,tchintabaraden,15.8969,5.7985,29.75,10,0,3.94,NE,1737391395
391,namdrik,5.5994,168.1028,27.38,80,100,10.96,MH,1737391396
392,chonchi,-42.6128,-73.8092,16.23,86,95,2.08,CL,1737391398
393,beau vallon,-20.4189,57.6953,27.13,78,40,5.14,MU,1737391400
394,altay,47.8667,88.1167,-11.7,67,49,3.4,CN,1737391401
395,bahia de kino,28.8333,-111.9333,16.54,39,100,1.48,MX,1737391402
396,faya-largeau,17.9257,19.1043,27.02,11,11,4.92,TD,1737391403
397,tromso,69.6496,18.957,-8.99,86,75,1.54,NO,1737391404
398,nehe,48.4833,124.8333,-13.17,96,100,2.05,CN,1737391405
399,pacocha,-17.5833,-71.3333,24.08,65,40,3.09,PE,1737391406
400,al burayqah,30.4062,19.5739,16.73,73,100,2.31,LY,1737391408
401,fort st. john,56.2499,-120.8529,-12.06,72,75,2.57,CA,1737391110
402,xiangyang,32.0422,112.1448,10.66,30,55,3.3,CN,1737391410
403,agat village,13.3886,144.6585,26.53,88,40,2.57,GU,1737391411
404,ilkal,15.9667,76.1333,22.99,26,29,2.48,IN,1737391412
405,male,4.1748,73.5089,27.97,83,75,4.63,MV,1737391223
406,touros,-5.1989,-35.4608,30.36,54,18,5.05,BR,1737391414
407,strelka,58.0728,93.0344,-3.53,92,100,4.48,RU,1737391415
408,new norfolk,-42.7826,147.0587,15.51,98,1,0.37,AU,1737391416
409,manismata,-2.4667,111.0333,23.3,99,100,0.43,ID,1737391417
410,at taraf,25.3628,49.725,16.3,35,33,3.9,SA,1737391419
411,saint-louis,16.3333,-15.0,31.28,7,91,4.49,SN,1737391420
412,dakhla,23.6848,-15.958,20.01,68,0,5.14,EH,1737391421
413,annau,37.8876,58.516,6.72,70,100,1.03,TM,1737391422
414,daru,-9.0763,143.2092,26.45,82,99,3.6,PG,1737391423
415,darayya,33.459,36.2374,11.55,48,0,3.56,SY,1737391424
416,tanumah,27.1,44.1333,14.25,28,0,2.94,SA,1737391427
417,lazaro cardenas,17.9583,-102.2,27.73,62,95,1.42,MX,1737391291
418,ghanzi,-21.5667,21.7833,27.24,53,93,4.2,BW,1737391429
419,eyl,7.9803,49.8164,23.88,77,43,7.06,SO,1737391430
420,tirmiz,37.2242,67.2783,5.05,87,100,2.06,UZ,1737391431
421,bukama,-9.2,25.85,20.66,98,100,1.64,CD,1737391432
422,oamaru,-45.0784,170.9801,9.65,86,100,2.22,NZ,1737391433
423,leh,34.1667,77.5833,-16.0,67,64,1.67,IN,1737391434
